id,method_signature,classname,package,suffix
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/server/ExplosionBounds.java,contain(Point),ExplosionBounds,server,
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/server/BomberServer.java,getInstance(),BomberServer,server,
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/server/ServerBomb.java,tick(),ServerBomb,server,
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/server/StopServer.java,connectToSrv(),StopServer,server,
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/common/Map_0Test.java,"getTileByIndex(int, int)",Map,common,0
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/common/Map_1Test.java,"getTile(int, int)",Map,common,1
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/common/Map_2Test.java,getStartPoint(int),Map,common,2
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/common/ResourceService_0Test.java,getImage(String),ResourceService,common,0
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/common/ResourceService_1Test.java,getImageIcon(String),ResourceService,common,1
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/common/ResourceService_2Test.java,getInputStream(String),ResourceService,common,2
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/common/MapPreview.java,getMapPreview(int),MapPreview,common,
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/common/XmlFunctions_0Test.java,getXmlValue(String),XmlFunctions,common,0
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/common/XmlFunctions_1Test.java,findXmlNodes(String),XmlFunctions,common,1
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/common/MapReader.java,"getXMLValue(Node, String)",MapReader,common,
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/common/MapFilesLister.java,ListMaps(String),MapFilesLister,common,
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/common/GameModel.java,checkForWinner(),GameModel,common,
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/client/ClientProperties_0Test.java,getProperty(String),ClientProperties,client,0
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/client/ClientProperties_1Test.java,"fileCopy(InputStream, File)",ClientProperties,client,1
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/client/ClientPlayer.java,canBowlBombs(),ClientPlayer,client,
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/client/ClientGameRound.java,getGameObjectById(int),ClientGameRound,client,
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/client/BomberClient_0Test.java,getInstance(),BomberClient,client,0
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/client/BomberClient_1Test.java,connectToSrv(),BomberClient,client,1
/EvoSuiteBenchmark/original/57_hft-bomberman/src/main/java/client/view/GfxFactory.java,getPowerUpImage(String),GfxFactory,client.view,
