GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Scenario,Token
jnfe,br.com.jnfe.base.pl006,RequestAdapterImpl,107,0,2,0,31,0,5,0,4,0,scenario1,2000
jnfe,br.com.jnfe.base,ProcEmi,59,0,0,0,9,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,TUFs,14,0,2,0,4,0,3,0,2,0,scenario1,2000
jnfe,br.com.jnfe.base,DefaultNamespacePrefixMapper,46,0,2,0,7,0,5,0,4,0,scenario1,2000
jnfe,br.com.jnfe.base,ConsReciNFe,24,0,0,0,10,0,7,0,7,0,scenario1,2000
jnfe,br.com.jnfe.base,TpDet,51,0,0,0,11,0,5,0,5,0,scenario1,2000
jnfe,br.com.jnfe.base,ModeloNFe,59,0,0,0,7,0,2,0,2,0,scenario1,2000
jnfe,br.com.jnfe.base,ContribICMS,48,0,0,0,8,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,ModBCST,81,0,0,0,11,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,MotDesICMS,114,0,0,0,14,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,UF,370,0,4,0,38,0,7,0,5,0,scenario1,2000
jnfe,br.com.jnfe.base,IndPag,48,0,0,0,8,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,TpEmis,70,0,0,0,10,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,TpNF,37,0,0,0,7,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,ModFrete,59,0,0,0,9,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,TpAmb,56,0,4,0,13,0,7,0,5,0,scenario1,2000
jnfe,br.com.jnfe.base,TpVeiculo,37,0,0,0,7,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,TransportKeyStoreBean,199,0,18,0,44,0,21,0,12,0,scenario1,2000
jnfe,br.com.jnfe.base,CRT,48,0,0,0,8,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,ModBC,59,0,0,0,9,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,Orig,66,0,0,0,12,0,5,0,5,0,scenario1,2000
jnfe,br.com.jnfe.base,TpServico,117,0,0,0,17,0,5,0,5,0,scenario1,2000
jnfe,br.com.jnfe.base,TpSerie,97,0,6,0,14,0,8,0,5,0,scenario1,2000
jnfe,br.com.jnfe.base,CST_Grupo,699,0,4,0,37,0,11,0,9,0,scenario1,2000
jnfe,br.com.jnfe.base,TpImp,37,0,0,0,7,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,SitNFe,131,0,0,0,17,0,5,0,5,0,scenario1,2000
jnfe,br.com.jnfe.base,TpObsNFe,37,0,0,0,7,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,FinNFe,48,0,0,0,8,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,TProvince,38,0,0,0,14,0,6,0,6,0,scenario1,2000
jnfe,br.com.jnfe.base,CST_IPI,229,0,0,0,25,0,6,0,6,0,scenario1,2000
jnfe,br.com.jnfe.base,RegimeEspecialTributario,92,0,0,0,12,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,CST_PIS,261,0,4,0,25,0,9,0,7,0,scenario1,2000
jnfe,br.com.jnfe.base,C_ICMS,283,0,0,0,33,0,9,0,9,0,scenario1,2000
jnfe,br.com.jnfe.base,CST_COFINS,261,0,4,0,25,0,9,0,7,0,scenario1,2000
jnfe,br.com.jnfe.base,IndTot,37,0,0,0,7,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base,CStat,1526,0,0,0,133,0,5,0,5,0,scenario1,2000
jnfe,br.com.jnfe.base.util,SecurityUtils,204,0,8,0,53,0,15,0,11,0,scenario1,2000
jnfe,br.com.jnfe.base.service,DOMNFeFileReader,79,0,0,0,21,0,5,0,5,0,scenario1,2000
jnfe,br.com.jnfe.base.service,SimpleSecurityHandlerBean,171,0,10,0,48,0,12,0,7,0,scenario1,2000
jnfe,br.com.jnfe.base.service,DOMNFeSignatureHandler,75,0,6,0,18,0,8,0,5,0,scenario1,2000
jnfe,br.com.jnfe.base.service,DOMNFeSignatureBuilder,259,0,12,0,61,0,18,0,12,0,scenario1,2000
jnfe,br.com.jnfe.base.service,DOMNFeSigantureFactoryBean,84,0,4,0,25,0,12,0,10,0,scenario1,2000
jnfe,br.com.jnfe.base.service,DOMNFeKeyInfoBuilder,30,0,0,0,9,0,4,0,4,0,scenario1,2000
jnfe,br.com.jnfe.base.service,Pkcs12SecurityHandlerBean,169,0,10,0,46,0,16,0,11,0,scenario1,2000
jnfe,br.com.jnfe.base.service,AbstractSecurityHandlerBean,21,0,0,0,8,0,6,0,6,0,scenario1,2000
jnfe,br.com.jnfe.base.service,DOMNFeSignatureHandler.new SecurityCallBack() {...},15,0,0,0,3,0,2,0,2,0,scenario1,2000
jnfe,br.com.jnfe.base.service,NFeCalculatorImpl,173,0,14,0,46,0,17,0,10,0,scenario1,2000
jnfe,br.com.jnfe.base.service,LoggingFaultMessageResolver,46,0,0,0,13,0,3,0,3,0,scenario1,2000
jnfe,br.com.jnfe.base.pl005d,RequestAdapterImpl,126,0,2,0,39,0,5,0,4,0,scenario1,2000
jnfe,br.com.jnfe.base.adapter.dom,AbstractNFeDOMAdapter,33,0,0,0,9,0,4,0,4,0,scenario1,2000
jnfe,br.com.jnfe.base.adapter,AbstractNFeAdapter,5,0,0,0,2,0,2,0,2,0,scenario1,2000
jnfe,br.com.jnfe.base.adapter,AbstractNFeAdaptadorBean,229,0,16,0,58,0,27,0,19,0,scenario1,2000
saxpath,com.werken.saxpath,DefaultXPathHandler,49,0,0,0,46,0,46,0,46,0,original,2000
saxpath,com.werken.saxpath,DefaultXPathHandler.Singleton,8,0,0,0,2,0,2,0,2,0,original,2000
saxpath,com.werken.saxpath,Token,65,0,0,0,20,0,10,0,10,0,original,2000
saxpath,com.werken.saxpath,XPathLexer,1030,0,114,0,358,0,113,0,44,0,original,2000
saxpath,com.werken.saxpath,XPathReader,1141,0,144,0,380,0,128,0,42,0,original,2000
saxpath,org.saxpath.conformance,ConformanceXPathHandler,418,0,4,0,104,0,50,0,48,0,original,2000
saxpath,org.saxpath.helpers,DefaultXPathHandler,47,0,0,0,46,0,45,0,45,0,original,2000
saxpath,org.saxpath.helpers,XPathReaderFactory,107,0,12,0,34,0,10,0,4,0,original,2000
saxpath,org.saxpath,Axis,113,0,40,0,43,0,29,0,3,0,original,2000
saxpath,org.saxpath,XPathSyntaxException,86,0,2,0,20,0,7,0,6,0,original,2000
saxpath,org.saxpath,SAXPathParseException,4,0,0,0,2,0,1,0,1,0,original,2000
saxpath,org.saxpath,SAXPathException,47,0,4,0,18,0,8,0,6,0,original,2000
fixsuite,org.fixsuite.message,LibrarySuite,327,0,6,0,76,0,11,0,8,0,scenario1,2000
fixsuite,org.fixsuite.message,Library,296,0,28,0,56,0,21,0,7,0,scenario1,2000
fixsuite,org.fixsuite.message,LibrarySuite.new Runnable() {...},12,0,0,0,4,0,2,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message,LibrarySuite.new WindowAdapter() {...},10,0,0,0,3,0,2,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message,LibrarySuite.LibraryLoader,20,0,0,0,5,0,2,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.info,GroupInfo,281,0,20,0,65,0,22,0,12,0,scenario1,2000
fixsuite,org.fixsuite.message.info,DictionaryInfo,231,0,24,0,55,0,30,0,18,0,scenario1,2000
fixsuite,org.fixsuite.message.info,ValueInfo,31,0,0,0,13,0,9,0,9,0,scenario1,2000
fixsuite,org.fixsuite.message.info,ComponentInfo,267,3,20,0,69,1,35,1,25,1,scenario1,2000
fixsuite,org.fixsuite.message.info,MessageInfo,31,0,0,0,13,0,9,0,9,0,scenario1,2000
fixsuite,org.fixsuite.message.info,FieldInfo,156,17,6,2,58,6,38,4,35,3,scenario1,2000
fixsuite,org.fixsuite.message.parsers.fpl,MainParser,128,0,6,0,25,0,8,0,5,0,scenario1,2000
fixsuite,org.fixsuite.message.parsers.fpl,MsgTypeParser,113,0,8,0,33,0,6,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.parsers.fpl,MsgContentsParser,344,0,42,0,100,0,23,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.parsers.fpl,EnumsParser,88,0,4,0,23,0,5,0,3,0,scenario1,2000
fixsuite,org.fixsuite.message.parsers.fpl,FieldsParser,144,0,10,0,44,0,7,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.parsers.fpl,MsgContentModel,77,0,8,0,28,0,18,0,14,0,scenario1,2000
fixsuite,org.fixsuite.message.parsers.fpl,ComponentsParser,82,0,6,0,24,0,5,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.parsers.fpl,AbstractParser,74,0,0,0,18,0,3,0,3,0,scenario1,2000
fixsuite,org.fixsuite.message.view,ListView.ComponentListModel,24,0,2,0,6,0,3,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.view,TreeView.FixInfoCellRenderer,103,0,8,0,18,0,6,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.view,ListView.FieldListRenderer,36,0,0,0,5,0,2,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.view,LoadingSplashScreen,41,0,0,0,14,0,4,0,4,0,scenario1,2000
fixsuite,org.fixsuite.message.view,InfoPanel,102,0,4,0,21,0,5,0,3,0,scenario1,2000
fixsuite,org.fixsuite.message.view,ListView.ComponentListRenderer,24,0,0,0,5,0,2,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.view,ListView.DictionaryComboBoxRenderer,22,0,0,0,4,0,2,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.view,ListView.FieldListModel,96,0,20,0,24,0,13,0,3,0,scenario1,2000
fixsuite,org.fixsuite.message.view,ListView.MessageListRenderer,36,0,0,0,5,0,2,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.view,TreeView.FixInfoTreeNode,17,0,0,0,7,0,3,0,3,0,scenario1,2000
fixsuite,org.fixsuite.message.view,TreeView,619,0,58,0,152,0,43,0,14,0,scenario1,2000
