GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
diebierse,bierse,Bierse,45,3,0,0,11,1,1,1,1,1
diebierse,bierse.model,Drink,981,0,40,0,220,0,65,0,45,0
diebierse,bierse.model,Settings,329,26,10,0,86,9,21,1,16,1
diebierse,bierse.model,Model,444,30,28,0,118,8,44,1,30,1
diebierse,bierse.controller,DefaultSettingsController,239,0,26,0,53,0,16,0,3,0
diebierse,bierse.controller,DrinkSellController,111,0,8,0,21,0,8,0,4,0
diebierse,bierse.controller,TriggerThread,53,0,4,0,16,0,4,0,2,0
diebierse,bierse.controller,DefaultMenuController,48,0,4,0,14,0,6,0,4,0
diebierse,bierse.controller,DefaultTableModelController,51,0,6,0,13,0,5,0,2,0
diebierse,bierse.view,DefaultDrinkSellView,602,0,14,0,110,0,20,0,13,0
diebierse,bierse.view,DefaultInfoView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
diebierse,bierse.view,DefaultInfoView,472,0,10,0,89,0,13,0,8,0
diebierse,bierse.view,MyKeyMap,0,18,0,0,0,7,0,4,0,4
diebierse,bierse.view,DefaultInfoViewMouseListener,73,22,3,1,14,10,4,6,2,6
diebierse,bierse.view,DefaultDrinkSellView.new WindowAdapter() {...},13,0,0,0,4,0,2,0,2,0
diebierse,bierse.view,DefaultDrinkSellView.new DefaultTableModel() {...},28,0,4,0,7,0,5,0,3,0
diebierse,bierse.view,DefaultSettingsView,986,0,20,0,214,0,34,0,24,0
diebierse,bierse.view,RunningMessagePanel,17,114,3,3,5,29,3,7,1,6
diebierse,bierse.view,KeyMapComboBoxModel,0,140,0,13,0,40,0,15,0,3
asphodel,org.asphodel.analyzer,SimpleAnalyzer.SimpleTokenizer,72,0,4,0,21,0,4,0,2,0
asphodel,org.asphodel.analyzer,SimpleAnalyzer,12,0,0,0,3,0,2,0,2,0
asphodel,org.asphodel,AsphodelServiceLocator,20,0,0,0,5,0,5,0,5,0
asphodel,org.asphodel,FtrException,11,5,0,0,6,2,3,1,3,1
asphodel,org.asphodel,FtrConstants,3,0,0,0,1,0,1,0,1,0
asphodel,org.asphodel,DefaultRepositoryManager,293,0,34,0,74,0,32,0,15,0
asphodel,org.asphodel,AsphodelConfig,16,0,0,0,6,0,5,0,5,0
asphodel,org.asphodel.search,DefaultSearchEngine,160,34,4,2,32,10,5,4,3,3
asphodel,org.asphodel.search,QueryCommand,0,44,0,0,0,19,0,11,0,11
asphodel,org.asphodel.search,FtrSearchResult,0,31,0,2,0,11,0,7,0,6
asphodel,org.asphodel.search,FtrRecord,6,40,0,0,1,16,1,10,1,10
asphodel,org.asphodel.index,DefaultIndexEngine,197,0,14,0,47,0,14,0,7,0
asphodel,org.asphodel.index,PlainTextStringContent,0,9,0,0,0,4,0,2,0,2
asphodel,org.asphodel.index,IndexeeContent,0,3,0,0,0,1,0,1,0,1
asphodel,org.asphodel.index,Indexee,39,0,2,0,14,0,9,0,8,0
asphodel,org.asphodel.index,InputStreamContent,0,8,0,0,0,4,0,2,0,2
asphodel,org.asphodel.index,HtmlStringContent,15,0,0,0,5,0,2,0,2,0
asphodel,org.asphodel.index,StreamContent,3,0,0,0,1,0,1,0,1,0
asphodel,org.asphodel.parser,HtmlContentParser,34,35,0,0,9,10,1,5,1,5
asphodel,org.asphodel.parser,ContentParserException,12,4,0,0,6,2,3,1,3,1
diffi,de.beiri22.commandline,CommandLine,0,71,0,8,0,14,0,7,0,3
diffi,de.beiri22.commandline,Option,0,146,0,16,0,31,0,21,0,13
diffi,diffi,Main,101,3,0,0,12,1,1,1,1,1
diffi,de.beiri22.filedp,FileDiffPatch,125,35,12,4,33,16,6,7,0,5
diffi,de.beiri22.stringincrementor.relativestring,RelativeString,46,257,3,9,11,44,2,16,0,12
diffi,de.beiri22.stringincrementor.relativestring,StringLink,11,110,0,0,7,31,0,7,0,7
diffi,de.beiri22.stringincrementor,StringIncrementor,66,271,6,26,10,47,5,16,0,5
diffi,de.beiri22.stringincrementor.helper,ExtBoolArray,0,55,0,10,0,15,0,9,0,4
diffi,de.beiri22.stringincrementor.helper,IndexedString,0,150,0,20,0,30,0,13,0,3
diffi,de.beiri22.stringincrementor.helper,StringFromFile,36,3,2,0,9,1,2,1,1,1
openhre,com.browsersoft.jaas,AACSRolePrincipal,0,4,0,0,0,2,0,1,0,1
openhre,com.browsersoft.jaas,AACSUserPrincipal,0,4,0,0,0,2,0,1,0,1
openhre,com.browsersoft.jaas,AACSLoginModule,429,36,46,4,92,12,27,5,2,5
openhre,com.browsersoft.jaas,AACSPrincipal,2,55,1,9,1,17,1,9,0,5
openhre,com.browsersoft.openhre.hl7.impl.config,HL7DataTypeImpl,0,111,0,5,0,26,0,13,0,10
openhre,com.browsersoft.openhre.hl7.impl.config,HL7FieldRepeatableDependingProcessorImpl,29,60,4,6,6,12,3,5,0,3
openhre,com.browsersoft.openhre.hl7.impl.config,HL7MessageConfigReaderImpl,292,15,47,1,69,3,30,2,6,2
openhre,com.browsersoft.openhre.hl7.impl.config,HL7SegmentsConfigReaderImpl,455,15,71,1,118,3,44,2,8,2
openhre,com.browsersoft.openhre.hl7.impl.config,HL7DataTypeMapImpl,0,130,0,8,0,27,0,12,0,8
openhre,com.browsersoft.openhre.hl7.impl.config,HL7DataTypePartPrimitiveImpl,0,81,0,4,0,22,0,13,0,11
openhre,com.browsersoft.openhre.hl7.impl.config,HL7SegmentMapImpl,18,114,0,8,1,26,0,12,0,8
openhre,com.browsersoft.openhre.hl7.impl.config,HL7DataTypePartSubPartImpl,0,42,0,2,0,12,0,8,0,7
openhre,com.browsersoft.openhre.hl7.impl.config,HL7MessageMapImpl,16,114,0,8,1,26,0,12,0,8
openhre,com.browsersoft.openhre.hl7.impl.config,HL7MessageGroupItemImpl,0,17,0,0,0,7,0,5,0,5
openhre,com.browsersoft.openhre.hl7.impl.config,HL7VersionConfigurationMapImpl,0,62,0,4,0,16,0,8,0,6
openhre,com.browsersoft.openhre.hl7.impl.config,HL7DataTypeConfigReaderImpl,278,15,43,1,72,3,29,2,7,2
openhre,com.browsersoft.openhre.hl7.impl.config,HL7MessageImpl,15,75,0,2,2,18,0,11,0,10
openhre,com.browsersoft.openhre.hl7.impl.config,HL7TablesConfigReaderImpl,202,15,31,1,53,3,21,2,5,2
openhre,com.browsersoft.openhre.hl7.impl.config,HL7MessageGroupImpl,18,114,0,14,1,27,0,18,0,11
openhre,com.browsersoft.openhre.hl7.impl.config,HL7SegmentImpl,0,88,0,2,0,19,0,9,0,8
openhre,com.browsersoft.openhre.hl7.impl.config,HL7TableItemMapImpl,18,114,0,8,1,26,0,12,0,8
openhre,com.browsersoft.openhre.hl7.impl.config,HL7ConfigurationImpl,304,156,33,3,78,39,28,13,10,13
openhre,com.browsersoft.openhre.hl7.impl.config,HL7DataTypePartImpl,0,10,0,0,0,4,0,3,0,3
openhre,com.browsersoft.openhre.hl7.impl.config,HL7MessageSegmentImpl,0,61,0,0,0,12,0,7,0,7
openhre,com.browsersoft.openhre.hl7.impl.config,HL7FieldGivenDependingProcessorImpl,22,28,3,1,6,7,3,4,1,4
openhre,com.browsersoft.openhre.hl7.impl.config,HL7FieldListImpl,0,90,0,14,0,22,0,15,0,8
openhre,com.browsersoft.openhre.hl7.impl.config,HL7TableImpl,0,88,0,2,0,19,0,9,0,8
openhre,com.browsersoft.openhre.hl7.impl.config,HL7TableItemImpl,0,54,0,2,0,12,0,7,0,6
openhre,com.browsersoft.openhre.hl7.impl.config,HL7TableMapImpl,16,114,0,8,1,26,0,12,0,8
openhre,com.browsersoft.openhre.hl7.impl.config,DOMUtils,19,75,3,5,5,18,3,6,0,5
openhre,com.browsersoft.openhre.hl7.impl.config,HL7PatternsForCatchValuesImpl,0,97,0,8,0,24,0,13,0,9
openhre,com.browsersoft.openhre.hl7.impl.config,HL7DataTypePartListImpl,0,90,0,14,0,22,0,15,0,8
openhre,com.browsersoft.openhre.hl7.impl.config,HL7FieldImpl,31,284,4,15,6,67,4,35,0,27
openhre,com.browsersoft.openhre.hl7,ConvertorXMLToHL7,52,21,2,0,18,5,2,3,1,3
openhre,com.browsersoft.openhre.hl7,TestExpresion,56,3,0,0,16,1,1,1,1,1
openhre,com.browsersoft.openhre.hl7,Convertor,172,3,2,0,40,1,4,1,3,1
openhre,com.browsersoft.openhre.hl7.api.parse,ParserException,6,9,0,0,2,4,2,1,2,1
openhre,com.browsersoft.aacs,KrbUserMgr,115,99,2,6,30,32,1,9,0,6
openhre,com.browsersoft.aacs,Login,958,335,99,13,219,84,68,20,13,19
openhre,com.browsersoft.aacs,LdapService.groupComparator,16,6,0,0,4,1,1,1,1,1
openhre,com.browsersoft.aacs,LoginFilter,14,5,4,0,5,3,3,3,1,3
openhre,com.browsersoft.aacs,LdapService.peopleComparator,28,6,2,0,7,1,2,1,1,1
openhre,com.browsersoft.aacs,LdapService,846,238,121,1,198,69,63,15,2,15
openhre,com.browsersoft.aacs,LdapFetch,389,119,45,3,84,32,23,5,0,4
openhre,com.browsersoft.aacs,PassiveCallbackHandler,0,63,0,6,0,17,0,5,0,2
openhre,com.browsersoft.aacs,SimpleUserMgr,917,408,65,47,177,103,49,34,10,17
openhre,com.browsersoft.aacs,Role,10,229,1,7,2,84,2,64,1,61
